text,category,priority,source,category_encoded,priority_encoded
vpn intermittently disconnects during remote work connections drop every 20 30 minutes while on client calls please review vpn logs and stability for my profile,IT Support,Medium,complaint_triage,0,0
request to map departmental research share i need read write access to the biology research drive the path in the wiki returns access denied could you confirm my group membership and map the drive no elevated privileges required,IT Support,Low,complaint_triage,0,1
canvas submission blocked by sso loop right before deadline sign in passes then loops to login again tried different browsers and cleared cache please break the loop or provide a temporary bypass this is time critical for my grade,IT Support,High,complaint_triage,0,2
matlab license request for course project i need matlab installed with the university license could you assist with activation on a managed laptop,IT Support,Low,complaint_triage,0,1
onedrive for education sync conflicts across lab and office pcs edits on the lab machine create conflicted copy when opened in my office i reinstalled the client and cleared cache issue persists version history shows parallel edits despite single user workflow please review client version throttling and campus network egress preserving version history is important for compliance happy to share log files and affected folder ids kindly propose a safe clean up process,IT Support,Medium,complaint_triage,0,0
library printer queue stuck at processing jobs appear in the queue but nothing prints i restarted the spooler and re added the printer toner and paper are full please check device status and backend print server,IT Support,Medium,complaint_triage,0,0
mfa reset needed after phone replacement authenticator app on new device not recognized urgent reset required to access email and lms,IT Support,High,complaint_triage,0,2
trackpad lag on loaner laptop pointer stutters especially when zoom is open i updated drivers and toggled precision settings it s making note taking oddly frustrating any recommended fixes,IT Support,Low,complaint_triage,0,1
sharepoint course folder permission missing after enrollment i enrolled yesterday folder link says i lack permission classmates can open it fine signed out in and tried different browsers ta verified my email is on the list still blocked with the same error could you grant access so i can download lab files i m catching up on lectures,IT Support,Medium,complaint_triage,0,0
software center installs failing with generic error several updates show retry without details please push remediation or advise steps,IT Support,Low,complaint_triage,0,1
teams audio device not detected before thesis defense headset shows in system settings but not in teams checked privacy permissions and drivers defense starts in an hour please assist urgently policy refresh or workaround needed,IT Support,High,complaint_triage,0,2
ssl warning on internal faculty dashboard browser reports certificate name mismatch peers report identical interstitial warnings is this a renewal delay or misconfiguration please confirm san entries and chain trust provide guidance if pinning affects clients a short post incident note would help prefer resolution before grade submission week,IT Support,Medium,complaint_triage,0,0
request for lightweight image editor on lab pc i only need crop resize for a class assignment if there s a standard tool please deploy to my profile open source is fine no admin rights necessary if via portal,IT Support,Low,complaint_triage,0,1
proxy blocks vendor documentation site docs subdomain is categorized incorrectly please review and allow if appropriate,IT Support,Medium,complaint_triage,0,0
reported phishing fake bursar notice targeting students email requests payment via a suspicious external portal i did not click links others may have received it please initiate campus wide alert and filter updates headers available for analysis kindly confirm incident response steps time sensitive to prevent credential theft appreciate quick action,IT Support,High,complaint_triage,0,2
brightness hotkeys stopped after update display is stuck too bright in lecture halls please help restore hotkey functionality,IT Support,Low,complaint_triage,0,1
power bi workspace contributor access request need to publish departmental dashboards read only currently blocks refresh and edits please add my account to the correct security group workspace id ready to share,IT Support,Medium,complaint_triage,0,0
exam portal times out on campus wi fi works on hotspot sign in spins indefinitely on eduroam cleared cache tried multiple browsers exam closes in 45 minutes please fix routing or provide an immediate workaround,IT Support,High,complaint_triage,0,2
scheduled script misses run when laptop sleeps task is set for 3 a m local time if the laptop sleeps it never catches up wake the computer seems ineffective is there a recommended policy for this could this run on a server instead looking for reliability not urgent thanks for best practice guidance,IT Support,Low,complaint_triage,0,1
webcam turns off randomly during zoom seminars camera disconnects mid call and won t reconnect it s awkward in presentations please advise,IT Support,Medium,complaint_triage,0,0
new ra onboarding bundle of standard academic tools research assistant starts monday please provision accounts licenses and mfa sharepoint and git access aligned with project asset tag to follow,IT Support,Low,complaint_triage,0,1
sis login failing for multiple faculty members authentication errors began this morning message shows invalid sso token cache cookie clears did not help please check idp health and federation trust provide eta and any workaround this blocks grading submissions escalation requested,IT Support,High,complaint_triage,0,2
library printer shows quota exceeded unexpectedly i printed very little this month could you review and reset my quota,IT Support,Medium,complaint_triage,0,0
outlook search misses recent messages i can see them manually but search finds nothing index rebuild didn t help it slows me down open to a profile recreation if needed please advise a reliable fix,IT Support,Low,complaint_triage,0,1
restore request deleted lab dataset folder a research folder was removed from the network share today please restore from last night s backup needed for an irb review this afternoon path and timestamp available,IT Support,High,complaint_triage,0,2
bsods started after recent driver bundle blue screen roughly once per day event viewer indicates driver power state failure display driver rollback did not fix it please advise stable driver versions or rollback plan memory disk diagnostics passed logs are available moderate recurring impact,IT Support,Medium,complaint_triage,0,0
temporary admin rights for approved research tool need same day install of a vendor sdk approval attached please assign jit elevation,IT Support,Low,complaint_triage,0,1
wi fi drops in auditorium during live guest lecture signal reads strong yet connection resets intermittently audience can t view shared content when it drops please stabilize access points currently disruptive live session in progress,IT Support,High,complaint_triage,0,2
can t see course teams channel after being added roster shows me enrolled but the channel is missing signed out in and cleared cache peers see it fine i need this for group assignment planning please check policy sync and group membership would appreciate a quick fix thanks,IT Support,Medium,complaint_triage,0,0
legacy web app only works in ie mode buttons don t render in chrome edge ie mode works but prompts repeatedly can you confirm recommended settings we ll document for the department,IT Support,Low,complaint_triage,0,1
ransomware alert on shared research drive endpoint security flagged mass renames the suspected workstation was isolated request incident response engagement and scoping validate signatures and protect affected shares backups confirmed last week need restore readiness status updates every 30 minutes please high impact to research continuity,IT Support,High,complaint_triage,0,2
external monitor flickers at 60 hz in lab noticeable flicker causing eye strain any driver or refresh rate fix,IT Support,Medium,complaint_triage,0,0
access to campus research ssid requested approved for a research group mac address available if needed please grant access to run measurements thank you,IT Support,Low,complaint_triage,0,1
build server offline ci failing for capstone teams all builds queued with no agents available portal times out after restart blocks deployment to staging urgent attention requested,IT Support,High,complaint_triage,0,2
send as permission for departmental mailbox our staff needs send as for the advising mailbox read only at present is insufficient please grant via security group rather than individuals audit trail is maintained confirmation upon completion appreciated no time critical impact thank you,IT Support,Low,complaint_triage,0,1
password about to expire without prompts not receiving expiry notices as usual please push reset or extend grace period,IT Support,Medium,complaint_triage,0,0
lab pcs rejecting logins during scheduled practical multiple students can t sign in to desktops error user profile service failed the sign in practical begins in 30 minutes tried alternate stations same error please refresh the profile service and reimage if needed any immediate workaround is appreciated time sensitive for the course,IT Support,High,complaint_triage,0,2
calendar time zone mismatch for cross campus meetings invitees see incorrect times on recurring events it s caused a few missed sessions could someone verify dst and policy handling sample events available,IT Support,Low,complaint_triage,0,1
renew expiring certificate for internal app monitoring shows the cert expires in 10 days please renew and deploy across environments include intermediate chain validation kindly confirm completion,IT Support,Medium,complaint_triage,0,0
sso down for student services portal students cannot sign in enrollment impact likely please check idp status and recent changes,IT Support,High,complaint_triage,0,2
headset not recognized on library desktops usb headset lights up but no audio any quick policy or driver fix,IT Support,Low,complaint_triage,0,1
autocad sluggish after lab image update large drawings now take minutes to pan zoom disabling hardware acceleration didn t help gpu drivers appear current please suggest stable versions or configs deadlines are approaching this stresses the workflow logs available if needed thanks for your help,IT Support,Medium,complaint_triage,0,0
